Chave,ID_Empresa,ID,Colaborador,Horas_Mes,Horas_Semana,Horas_Dia,Status,Admissao,Demissao,ID_Motivo_Demissao,Venc_Ferias,Nascimento,Sexo,ID_Est_Civil,Matricula,Deficiente,Aposentado,Endereco,Cidade,Estado,Pais,CEP,UF,Latitude,Longitude,Cor,ID_Depto,ID_Cargo,ID_Escolaridade,ID_CC,Salario
11,1,1,Samuel Correia,220,44,"7,33",I,2009-05-27 00:00:00.000,2010-06-01 00:00:00.000,2,2011-06-01 00:00:00.000,1959-09-13 00:00:00.000,M,C,1,0,0,Rua Manoel Teixeira de Sales 1550,Belo Horizonte,Minas Gerais,BR,30210-130,MG,"-19,861804","-43,960084",2,2,5,7,2,540.00
110,1,10,Paulo Azevedo,150,30,5,I,2009-06-24 00:00:00.000,2013-08-30 00:00:00.000,2,2014-08-30 00:00:00.000,1963-01-18 00:00:00.000,M,C,10,0,0,Rua Vertentes 597,Caruaru,Pernambuco,BR,55026-500,PE,"-8,180867","-36,082506",2,5,222,7,2,782.00
1100,1,100,Arthur Castro,100,20,"3,33",I,2009-10-15 00:00:00.000,2010-03-07 00:00:00.000,2,2011-03-07 00:00:00.000,1983-12-31 00:00:00.000,M,S,100,0,0,Rua Jarbas Herculano 1759,Itaúna,Minas Gerais,BR,35680-214,MG,"-19,995485","-44,514324",2,9,133,4,2,322.00
1101,1,101,Fábio Castro,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-09-25 00:00:00.000,2,2010-09-25 00:00:00.000,1943-08-09 00:00:00.000,M,C,101,0,0,Rua dos Artífices 1627,São Paulo,São Paulo,BR,03725-030,SP,"-23,574434","-46,585469",2,13,5,1,2,650.00
1102,1,102,Emilly Souza,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-09-25 00:00:00.000,2,2011-09-25 00:00:00.000,1974-12-27 00:00:00.000,F,S,102,0,0,Rua Florínea 432,Catanduva,São Paulo,BR,15809-143,SP,"-21,128138","-49,042977",2,13,997,7,2,650.00
1103,1,103,Mariana Ferreira,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-09-25 00:00:00.000,2,2011-09-25 00:00:00.000,1965-10-24 00:00:00.000,F,S,103,0,0,Rua Besnier de Oliveira 1543,Juiz de Fora,Minas Gerais,BR,36025-370,MG,"-21,783698","-43,426654",9,13,997,7,2,650.00
1104,1,104,Júlio Cunha,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-08-08 00:00:00.000,2,2011-08-08 00:00:00.000,1991-10-26 00:00:00.000,M,S,104,0,0,Rua Perdizes 1475,Arapongas,Paraná,BR,86701-420,PR,"-23,518551","-51,41486",2,12,167,7,2,498.00
1105,1,105,Paulo Cardoso,220,44,"7,33",I,2009-10-03 00:00:00.000,2010-08-20 00:00:00.000,4,2011-08-20 00:00:00.000,1975-06-12 00:00:00.000,M,C,105,0,0,Rua Pascoal Moreira 1496,Campo Limpo Paulista,São Paulo,BR,13238-662,SP,"-23,142745","-46,715799",2,12,133,7,2,616.00
1106,1,106,Vitória Goncalves,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-12-05 00:00:00.000,2,2011-12-05 00:00:00.000,1976-05-15 00:00:00.000,F,C,106,0,0,Rua Hilza Teixeira Penteado de Lemos 114,Campinas,São Paulo,BR,13104-034,SP,"-22,831858","-46,963884",2,12,96,7,2,573.64
1108,1,108,Mateus Cavalcanti,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-08-14 00:00:00.000,4,2011-08-14 00:00:00.000,1984-08-07 00:00:00.000,M,C,108,0,0,Rua Vinte e Seis 967,São José dos Campos,São Paulo,BR,12239-057,SP,"-23,159007","-45,894934",2,12,167,7,2,498.00
111,1,11,Kaua Carvalho,200,40,"6,66",I,2009-06-24 00:00:00.000,2013-08-30 00:00:00.000,2,2014-08-30 00:00:00.000,1968-07-24 00:00:00.000,M,C,11,0,0,Rua Motorista Genésio Carvalho 13,Teresina,Piauí,BR,64007-650,PI,"-5,297972","-42,839267",2,5,802,4,2,902.00
1110,1,110,Eduardo Pinto,220,44,"7,33",I,2009-10-03 00:00:00.000,2013-01-06 00:00:00.000,2,2014-01-06 00:00:00.000,1959-05-14 00:00:00.000,M,C,110,0,0,Rua Gonçalves Ledo 422,Marília,São Paulo,BR,17511-402,SP,"-22,191624","-50,073653",2,12,133,5,2,963.60
1111,1,111,Douglas Martins,100,20,"3,33",I,2009-10-03 00:00:00.000,2012-05-27 00:00:00.000,4,2013-05-27 00:00:00.000,1958-05-03 00:00:00.000,M,C,111,0,0,Rua da Cuíca 408,Petrolina,Pernambuco,BR,56313-110,PE,"-9,012152","-40,619798",2,12,133,7,2,396.00
1112,1,112,Enzo Costa,150,30,5,I,2009-10-03 00:00:00.000,2011-11-11 00:00:00.000,8,2012-11-11 00:00:00.000,1958-03-28 00:00:00.000,M,S,112,0,0,Rua Beta Crucis 1582,São Luís,Maranhão,BR,65070-120,MA,"-2,74819","-44,335674",2,12,167,4,2,430.00
1113,1,113,Kauê Lima,200,40,"6,66",I,2009-10-03 00:00:00.000,2013-01-06 00:00:00.000,2,2014-01-06 00:00:00.000,1978-06-20 00:00:00.000,M,S,113,0,0,Rua Carlos C. de Oliveira 442,São João da Boa Vista,São Paulo,BR,13875-427,SP,"-21,989746","-46,828406",2,12,167,7,2,659.00
